                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8354,                 3.6769,                 3.7664,                0.58629,                0.16768,                0.10937,                0.02749,                 2.5113,                 4.3234,                 3.4948,             0.00041571,             0.00041571,             0.00041571
                      2,                 1.9784,                 2.9375,                 2.6311,                0.14405,                0.48868,                0.24385,                0.15975,                 1.5298,                 4.2554,                 2.4094,             0.00082963,             0.00082963,             0.00082963
                      3,                 1.4848,                 2.4107,                 2.1197,                0.50423,                0.67339,                0.40757,                0.28962,                 1.2717,                    2.1,                 2.1293,              0.0012408,              0.0012408,              0.0012408
                      4,                 1.2609,                 2.1124,                 1.8862,                0.61834,                0.59225,                0.55889,                0.42599,                 1.1283,                 1.7768,                 1.9481,              0.0012376,              0.0012376,              0.0012376
                      5,                  1.132,                 1.8869,                 1.7399,                 0.2331,                 0.6514,                0.47273,                0.38715,                 1.1012,                 4.9131,                 1.8739,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.0352,                   1.74,                 1.6508,                0.49344,                0.62373,                0.60879,                0.49486,                 1.0156,                 1.7554,                 1.7733,              0.0012335,              0.0012335,              0.0012335
                      7,                 0.9499,                 1.6334,                 1.5536,                0.44123,                0.63381,                0.60089,                0.52408,                 0.9226,                 2.0997,                   1.62,              0.0012294,              0.0012294,              0.0012294
                      8,                0.89054,                 1.5246,                 1.5192,                0.57718,                0.66399,                0.64773,                0.54869,                0.88159,                 2.0332,                 1.6367,              0.0012252,              0.0012252,              0.0012252
                      9,                0.87963,                 1.4932,                 1.4939,                 0.4439,                0.62139,                0.57877,                0.46427,                0.94961,                 3.1385,                 1.6954,              0.0012211,              0.0012211,              0.0012211
                     10,                0.87047,                 1.4698,                 1.4832,                0.58813,                0.67745,                0.67796,                0.56355,                0.83934,                 2.1764,                 1.5454,               0.001217,               0.001217,               0.001217
                     11,                0.82383,                 1.3729,                 1.4422,                0.71553,                0.77629,                0.81655,                0.69228,                0.78177,                 1.0963,                 1.4905,              0.0012129,              0.0012129,              0.0012129
                     12,                0.77924,                 1.3149,                 1.4002,                0.75869,                0.71742,                0.82154,                 0.6836,                0.78044,                 1.1757,                 1.4876,              0.0012087,              0.0012087,              0.0012087
                     13,                0.77067,                 1.2632,                 1.3798,                0.61454,                0.70885,                0.77392,                0.63881,                0.76725,                 1.1951,                 1.4897,              0.0012046,              0.0012046,              0.0012046
                     14,                0.77461,                 1.2371,                 1.3829,                0.85639,                0.82194,                0.88131,                0.74698,                0.73496,                0.89098,                 1.4149,              0.0012005,              0.0012005,              0.0012005
                     15,                0.74391,                 1.1917,                 1.3632,                0.83744,                0.80673,                0.84872,                0.73629,                0.71322,                 1.0716,                 1.3992,              0.0011964,              0.0011964,              0.0011964
                     16,                0.72889,                 1.1378,                 1.3504,                0.86659,                0.83405,                0.88386,                0.75201,                0.73464,                0.84153,                 1.4155,              0.0011922,              0.0011922,              0.0011922
                     17,                0.71728,                 1.1141,                 1.3341,                0.86081,                  0.838,                 0.8758,                0.73298,                0.72278,                0.88198,                 1.4196,              0.0011881,              0.0011881,              0.0011881
                     18,                0.69496,                 1.0583,                 1.3186,                0.78125,                0.72943,                0.84741,                0.71491,                0.75797,                 1.1063,                 1.4399,               0.001184,               0.001184,               0.001184
                     19,                0.68573,                 1.0423,                 1.3024,                0.85662,                0.78555,                0.87222,                0.74378,                0.72248,                0.91458,                  1.359,              0.0011799,              0.0011799,              0.0011799
